Id,String
HELLO,Hello~
BYE,Bye~
YOU DIE,You Die...
Item1Name,Sword
Item2Name,Shield
Item3Name,Bow
Item4Name,Potion
Item1Desc,This is a sword.
Item2Desc,This is a shield.
Item3Desc,This is a bow.
Item4Desc,This is a potion.
Warrior,Warrior
Archer,Archer
Magician,Magician
Defender,Defender
Attack,Attack
MagicAttack,MagicAttack
Defence,Defence
Name,Name
Desc,Description
Type,Type
Value,Value
Cost,Cost
Weapon,Weapon
Equip,Equip
Consumable,Consumable
NotConsumable,Except Consumable
None,None
CreatedAscending,Created ↓
CreatedDescending,Created ↑
NameAscending,Name ↓
NameDescending,Name ↑
TypeAscending,Type ↓
TypeDescending,Type ↑
CostAscending,Cost ↓
CostDescending,Cost ↑
Save,Save
Load,Load
AddItem,Add Item
RemoveItem,Remove Item
AddCharacter,Add Character
RemoveCharacter,Remove Character
JobAscending,Job ↓
JobDescending,Job ↑
