Id,String
HELLO,こんにちは
BYE,さようなら
YOU DIE,あなたは死んだ
Item1Name,剣
Item2Name,盾
Item3Name,弓
Item4Name,ポーション
Item1Desc,これは剣です。
Item2Desc,これは盾です。
Item3Desc,これは弓です。
Item4Desc,これはポーションです。
Warrior,戦士
Archer,弓使い
Magician,魔法使い
Defender,盾兵
Attack,攻撃力
MagicAttack,魔法攻撃力
Defence,防御力
Name,名前
Desc,説明
Type,タイプ
Value,値
Cost,価格
Weapon,武器
Equip,装備
Consumable,消耗品
NotConsumable,消耗品以外
None,None
CreatedAscending,作成日 ↓
CreatedDescending,作成日 ↑
NameAscending,名前 ↓
NameDescending,名前 ↑
TypeAscending,種類 ↓
TypeDescending,種類 ↑
CostAscending,価格 ↓
CostDescending,価格 ↑
Save,セーブ
Load,ロード
AddItem,アイテム追加
RemoveItem,アイテム削除
