Id,String
HELLO,안녕
BYE,잘가
YOU DIE,너 죽음
Item1Name,검
Item2Name,방패
Item3Name,활 
Item4Name,물약
Item5Name,마법책
Item1Desc,이것은 검이다.
Item2Desc,이것은 방패다.
Item3Desc,이것은 활이다.
Item4Desc,이것은 물약이다.
Item5Desc,이것은 책이다.
Warrior,전사
Archer,궁수
Magician,마법사
Defender,방패병
Attack,공격력
MagicAttack,마법공격력
Defence,방어력
Name,이름
Desc,설명
Type,타입
Value,밸류
Cost,가격
Weapon,무기
Equip,장비
Consumable,소모품
NotConsumable,소모품 제외
None,없음
CreatedAscending,최신순 ↓
CreatedDescending,최신순 ↑
NameAscending,이름순 ↓
NameDescending,이름순 ↑
TypeAscending,타입별 ↓
TypeDescending,타입별 ↑
CostAscending,가격 ↓
CostDescending,가격 ↑
Save,저장
Load,불러오기
AddItem,아이템 추가
RemoveItem,아이템 제거
AddCharacter,캐릭터 추가
RemoveCharacter,캐릭터 삭제
JobAscending,직업순 ↓
JobDescending,직업순 ↑ 
Equip,장착하기
Unequip,장착 해제
